,Heroes,(<2K MMR) PickRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%),Heroes.1,(>2K MMR) KDA Ratio,(>2K MMR) Avg Match,(2K-3K MMR) KDA Ratio,(2K-3K) Avg Match,(3K-4K MMR) KDA Ratio,(3K-4K MMR) Avg Match,(4K-5K MMR) KDA Ratio,(4K-5K MMR) Avg Match,(<5K MMR) KDA Ratio,(<5K MMR) Avg Match
0,Anti-Mage,11.16%,9.65%,51.53%,7.91%,51.77%,6.48%,51.03%,4.45%,50.24%,Anti-Mage,3.21,41:30,3.4,40:56,3.42,40:04,3.41,39:01,3.45,37:18
1,Axe,17.36%,16.18%,51.01%,14.50%,49.92%,13.20%,49.10%,10.88%,48.68%,Axe,2.57,42:22,2.56,41:46,2.56,40:55,2.57,39:45,2.56,37:42
2,Bane,2.31%,2.38%,49.05%,2.71%,50.76%,3.19%,50.41%,4.88%,51.95%,Bane,2.35,41:51,2.43,41:27,2.43,40:36,2.39,39:37,2.29,36:48
3,Bloodseeker,4.71%,3.28%,48.43%,2.77%,48.97%,2.57%,48.77%,2.44%,49.23%,Bloodseeker,2.79,42:22,3.02,42:07,3.13,41:28,3.23,40:19,3.41,37:56
4,Crystal Maiden,13.83%,10.69%,48.85%,8.37%,48.03%,6.88%,46.95%,4.51%,46.99%,Crystal Maiden,2.2,41:35,2.18,41:14,2.17,40:30,2.17,39:25,2.15,37:22
5,Drow Ranger,13.02%,10.03%,49.36%,7.63%,48.20%,5.81%,47.66%,3.23%,46.26%,Drow Ranger,2.75,42:18,3.0,42:06,3.02,41:22,3.02,40:27,2.94,38:21
6,Earthshaker,12.59%,13.06%,48.87%,13.97%,49.99%,13.97%,50.70%,13.28%,51.36%,Earthshaker,2.6,42:21,2.74,42:02,2.81,41:13,2.82,40:14,2.85,38:04
7,Juggernaut,11.23%,10.11%,49.16%,8.23%,49.03%,6.25%,48.04%,3.40%,47.25%,Juggernaut,2.73,41:07,3.07,40:36,3.2,39:44,3.25,38:32,3.27,36:33
8,Mirana,6.27%,6.81%,47.46%,6.05%,47.51%,5.11%,46.99%,3.51%,47.86%,Mirana,2.95,41:53,3.1,41:21,3.15,40:35,3.15,39:26,3.14,37:13
9,Morphling,7.50%,6.56%,45.41%,6.52%,45.30%,7.15%,45.15%,8.15%,45.42%,Morphling,2.96,40:32,3.16,40:03,3.28,39:26,3.39,38:39,3.56,36:32
10,Shadow Fiend,15.70%,13.15%,49.67%,11.33%,48.92%,9.60%,48.36%,7.02%,46.48%,Shadow Fiend,2.46,40:42,2.59,40:04,2.63,39:19,2.64,38:04,2.59,36:06
11,Phantom Lancer,8.39%,8.05%,53.99%,7.65%,53.66%,7.27%,53.01%,6.83%,51.25%,Phantom Lancer,3.34,41:51,3.75,41:53,3.91,41:24,3.98,40:25,3.93,38:22
12,Puck,4.41%,6.25%,46.07%,7.62%,46.48%,8.51%,46.79%,8.95%,47.68%,Puck,3.0,41:41,3.37,41:20,3.51,40:34,3.59,39:37,3.72,37:19
13,Pudge,29.72%,29.98%,47.85%,29.74%,47.59%,29.53%,47.43%,23.49%,47.59%,Pudge,2.26,41:23,2.27,40:58,2.23,40:14,2.19,39:12,2.13,37:10
14,Razor,3.52%,3.26%,46.97%,3.48%,46.04%,3.61%,46.69%,3.95%,46.65%,Razor,2.68,41:57,2.8,41:37,2.82,40:38,2.83,39:39,2.79,37:09
15,Sand King,5.65%,4.80%,53.89%,4.50%,53.09%,4.03%,51.33%,3.21%,50.96%,Sand King,2.8,42:30,2.83,42:11,2.87,41:30,2.82,40:22,2.82,38:16
